Product ID,Product Name,Category ID,Supplier ID,Unit Price,QOH
1,"Alpha Black Lotus",1,1,25000.00,2
2,"Beta Mox Pearl",1,2,12000.00,3
3,"Unlimited Time Walk",1,3,8000.00,5
4,"Ancestral Recall",1,4,7500.00,4
5,"Mox Sapphire",1,5,11000.00,3
6,"Mox Jet",1,6,10500.00,3
7,"Mox Ruby",1,7,10750.00,3
8,"Mox Emerald",1,8,10250.00,3
9,"Timetwister",1,9,6000.00,6
10,"Underground Sea",2,10,3500.00,8
11,"Volcanic Island",2,11,3400.00,7
12,"Tropical Island",2,12,3300.00,9
13,"Tundra",2,13,3600.00,7
14,"Bayou",2,14,3200.00,8
15,"Plateau",2,15,3000.00,10
16,"Savannah",2,16,3100.00,9
17,"Scrubland",2,17,3450.00,7
18,"Taiga",2,18,3050.00,9
19,"Badlands",2,19,3150.00,8
20,"Force of Will",5,20,125.00,25
21,"Jace, the Mind Sculptor",3,21,175.00,18
22,"Liliana of the Veil",3,22,150.00,20
23,"Tarmogoyf",4,23,95.00,30
24,"Snapcaster Mage",4,24,85.00,35
25,"Dark Confidant",4,25,90.00,32